gen,replicates,param_types,Fitness,Deviation,Square,Hamming,R,LCS,KT
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18487608.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18424911.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
27,p_run33,p4,18309089.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18520863.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18572510.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18534675.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
3,p_run33,p4,18404874.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18559536.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18441097.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
11,p_run33,p4,18312290.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18481057.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18500913.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18482068.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
26,p_run33,p4,18309089.0
0,p_run33,p4,18502229.0
0,p_run33,p4,18574772.0
0,p_run33,p4,18544070.0
0,p_run33,p4,18557558.0
0,p_run33,p4,18584941.0
0,p_run33,p4,18562540.0
0,p_run33,p4,18514940.0
0,p_run33,p4,18497288.0
0,p_run33,p4,18530909.0
0,p_run33,p4,18520759.0
0,p_run33,p4,18574360.0
0,p_run33,p4,18520994.0
0,p_run33,p4,18583954.0
0,p_run33,p4,18540460.0
0,p_run33,p4,18512504.0
0,p_run33,p4,18563189.0
0,p_run33,p4,18572217.0
0,p_run33,p4,18514595.0
0,p_run33,p4,18404874.0
0,p_run33,p4,18477628.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18427084.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18500492.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18406801.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18471639.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
9,p_run33,p4,18312290.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18563293.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
23,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18545772.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18454746.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
20,p_run33,p4,18309089.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18452196.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18583196.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18309089.0
19,p_run33,p4,18380832.0
19,p_run33,p4,18309089.0
