gen,replicates,param_types,fitness,dev,square,ham,r_dist,lcs,kt
0,p_run1,p1,0.9521229241901416,0.6282051282051282,0.4539187227866473,0.9811320754716981,0.9615384615384616,0.7884615384615384,0.43033381712626995
0,p_run1,p1,0.692212323226693,0.6581196581196581,0.5250766005482986,0.9433962264150944,0.9615384615384616,0.7692307692307693,0.49056603773584906
0,p_run1,p1,0.9443834276792812,0.6837606837606838,0.5082647960006451,0.9811320754716981,1.0,0.7692307692307693,0.4397677793904209
0,p_run1,p1,0.9149997957674665,0.7051282051282052,0.5343089824221899,0.9811320754716981,1.0,0.8269230769230769,0.465166908563135
0,p_run1,p1,0.9047032693207452,0.5997150997150997,0.4007821319142074,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.4448476052249637
0,p_run1,p1,0.8868918701558457,0.8105413105413106,0.6553781648121271,0.9811320754716981,1.0,0.8076923076923077,0.5384615384615384
0,p_run1,p1,0.8325699672073537,0.6752136752136753,0.5171746492501209,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.4702467343976778
0,p_run1,p1,0.764004109887834,0.6111111111111112,0.47109337203676827,0.9811320754716981,1.0,0.7692307692307693,0.534833091436865
0,p_run1,p1,0.7312405783285372,0.6353276353276354,0.47435897435897434,0.9811320754716981,1.0,0.8269230769230769,0.5246734397677794
0,p_run1,p1,0.7209471922011641,0.6068376068376069,0.45532978551846476,0.9811320754716981,1.0,0.7884615384615384,0.5377358490566038
1,p_run1,p1,0.9917971216967282,0.603988603988604,0.40295920012901143,0.9811320754716981,1.0,0.7884615384615384,0.45355587808417996
1,p_run1,p1,0.566173476765361,0.6581196581196581,0.5178197064989518,0.9433962264150944,0.9807692307692307,0.7884615384615384,0.48403483309143686
1,p_run1,p1,0.9257449077934464,0.6766381766381767,0.537050475729721,0.9811320754716981,0.9615384615384616,0.7884615384615384,0.5007256894049347
1,p_run1,p1,0.8338923609329757,0.6752136752136753,0.5168118045476536,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.46661828737300437
1,p_run1,p1,0.8272803923048653,0.6737891737891738,0.5157635865183035,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.4695210449927431
