population,KendallsTau
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
2,0.000725689404934688
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
3,0.001451378809869376
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
4,0.0021770682148040637
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
5,0.002902757619738752
6,0.0021770682148040637
6,0.00362844702467344
6,0.0021770682148040637
6,0.00362844702467344
6,0.00362844702467344
6,0.00362844702467344
6,0.00362844702467344
6,0.00362844702467344
6,0.00362844702467344
6,0.00362844702467344
7,0.002902757619738752
7,0.0043541364296081275
7,0.002902757619738752
7,0.0043541364296081275
7,0.002902757619738752
7,0.0043541364296081275
7,0.0043541364296081275
7,0.0043541364296081275
7,0.0043541364296081275
7,0.0043541364296081275
8,0.00362844702467344
8,0.0050798258345428155
8,0.00362844702467344
8,0.0050798258345428155
8,0.00362844702467344
8,0.0050798258345428155
8,0.0050798258345428155
8,0.0050798258345428155
8,0.00362844702467344
8,0.0050798258345428155
9,0.0043541364296081275
9,0.005805515239477504
9,0.0043541364296081275
9,0.005805515239477504
9,0.0043541364296081275
9,0.005805515239477504
9,0.005805515239477504
9,0.005805515239477504
9,0.0043541364296081275
9,0.0043541364296081275
10,0.0050798258345428155
10,0.006531204644412192
10,0.0050798258345428155
10,0.006531204644412192
10,0.0050798258345428155
10,0.006531204644412192
10,0.006531204644412192
10,0.006531204644412192
10,0.0050798258345428155
10,0.0050798258345428155
11,0.005805515239477504
11,0.00725689404934688
11,0.005805515239477504
11,0.00725689404934688
11,0.005805515239477504
11,0.00725689404934688
11,0.00725689404934688
11,0.005805515239477504
11,0.005805515239477504
11,0.005805515239477504
12,0.006531204644412192
12,0.007982583454281567
12,0.006531204644412192
12,0.006531204644412192
12,0.006531204644412192
12,0.006531204644412192
12,0.007982583454281567
12,0.006531204644412192
12,0.006531204644412192
12,0.006531204644412192
13,0.00725689404934688
13,0.00725689404934688
13,0.005805515239477504
13,0.00725689404934688
13,0.00725689404934688
13,0.00725689404934688
13,0.008708272859216255
13,0.005805515239477504
13,0.00725689404934688
13,0.00725689404934688
14,0.007982583454281567
14,0.007982583454281567
14,0.006531204644412192
14,0.006531204644412192
14,0.006531204644412192
14,0.007982583454281567
14,0.009433962264150943
14,0.006531204644412192
14,0.007982583454281567
14,0.006531204644412192
15,0.008708272859216255
15,0.008708272859216255
15,0.00725689404934688
15,0.00725689404934688
15,0.005805515239477504
15,0.008708272859216255
15,0.008708272859216255
15,0.005805515239477504
15,0.008708272859216255
15,0.00725689404934688
16,0.009433962264150943
16,0.009433962264150943
16,0.007982583454281567
16,0.007982583454281567
16,0.006531204644412192
16,0.009433962264150943
16,0.007982583454281567
16,0.006531204644412192
16,0.009433962264150943
16,0.007982583454281567
17,0.010159651669085631
17,0.010159651669085631
17,0.008708272859216255
17,0.008708272859216255
17,0.00725689404934688
17,0.008708272859216255
17,0.008708272859216255
17,0.00725689404934688
17,0.010159651669085631
17,0.008708272859216255
18,0.01088534107402032
18,0.01088534107402032
18,0.009433962264150943
18,0.009433962264150943
18,0.006531204644412192
18,0.007982583454281567
18,0.009433962264150943
18,0.007982583454281567
18,0.009433962264150943
18,0.009433962264150943
19,0.010159651669085631
19,0.011611030478955007
19,0.008708272859216255
19,0.010159651669085631
19,0.00725689404934688
19,0.00725689404934688
19,0.010159651669085631
19,0.008708272859216255
19,0.010159651669085631
19,0.010159651669085631
20,0.01088534107402032
20,0.012336719883889695
20,0.009433962264150943
20,0.01088534107402032
20,0.007982583454281567
20,0.007982583454281567
20,0.01088534107402032
20,0.009433962264150943
20,0.01088534107402032
20,0.01088534107402032
21,0.010159651669085631
21,0.013062409288824383
21,0.010159651669085631
21,0.011611030478955007
21,0.00725689404934688
21,0.008708272859216255
21,0.011611030478955007
21,0.010159651669085631
21,0.011611030478955007
21,0.011611030478955007
22,0.01088534107402032
22,0.013788098693759071
22,0.01088534107402032
22,0.012336719883889695
22,0.007982583454281567
22,0.009433962264150943
22,0.012336719883889695
22,0.009433962264150943
22,0.012336719883889695
22,0.012336719883889695
23,0.011611030478955007
23,0.01451378809869376
23,0.011611030478955007
23,0.013062409288824383
23,0.008708272859216255
23,0.010159651669085631
23,0.013062409288824383
23,0.010159651669085631
23,0.011611030478955007
23,0.013062409288824383
24,0.012336719883889695
24,0.013788098693759071
24,0.01088534107402032
24,0.013788098693759071
24,0.007982583454281567
24,0.01088534107402032
24,0.013788098693759071
24,0.01088534107402032
24,0.012336719883889695
24,0.013788098693759071
25,0.013062409288824383
25,0.013062409288824383
25,0.010159651669085631
25,0.01451378809869376
25,0.00725689404934688
25,0.010159651669085631
25,0.01451378809869376
25,0.011611030478955007
25,0.013062409288824383
25,0.01451378809869376
26,0.013788098693759071
26,0.013788098693759071
26,0.01088534107402032
26,0.013788098693759071
26,0.007982583454281567
